bits, tree_size, construction_time, compression_by_list_time, compression_by_tree_time, space_complexity_by_list, space_complexity_by_tree, space_complexity_construction
0, 1, 0.000000, 0.000000, 0.000000, 0, 0, 1
4, 7, 0.000000, 0.000000, 0.000000, 3, 4, 7
8, 15, 0.000000, 0.000000, 0.000000, 3, 4, 15
12, 31, 0.000000, 0.000000, 0.000000, 7, 12, 31
16, 31, 0.000000, 0.000000, 0.000000, 7, 10, 31
20, 63, 0.000000, 0.000000, 0.000000, 9, 21, 63
24, 63, 0.000000, 0.000000, 0.000000, 10, 22, 63
28, 63, 0.000000, 0.000000, 0.000000, 13, 28, 63
32, 63, 0.000000, 0.000000, 0.000000, 13, 30, 63
36, 127, 0.000000, 0.000000, 0.000000, 15, 48, 127
40, 127, 0.000000, 0.000000, 0.000000, 14, 40, 127
44, 127, 0.000000, 0.000000, 0.000000, 13, 26, 127
48, 127, 0.000000, 0.000000, 0.000000, 15, 36, 127
52, 127, 0.000000, 0.000000, 0.000000, 20, 53, 127
56, 127, 0.000000, 0.000000, 0.000000, 21, 63, 127
60, 127, 0.000000, 0.000000, 0.000000, 23, 62, 127
64, 127, 0.000000, 0.000000, 0.000000, 23, 72, 127
68, 255, 0.000000, 0.000000, 0.000000, 25, 99, 255
72, 255, 0.000000, 0.000000, 0.000000, 25, 105, 255
76, 255, 0.000000, 0.000000, 0.000000, 26, 101, 255
80, 255, 0.000000, 0.000000, 0.000000, 29, 111, 255
84, 255, 0.000000, 0.000000, 0.015634, 28, 105, 255
88, 255, 0.000000, 0.000000, 0.000000, 25, 100, 255
92, 255, 0.000000, 0.000000, 0.000000, 28, 115, 255
96, 255, 0.000000, 0.000000, 0.000000, 29, 111, 255
100, 255, 0.000000, 0.000000, 0.000000, 32, 124, 255
104, 255, 0.000000, 0.000000, 0.000000, 33, 128, 255
108, 255, 0.000000, 0.000000, 0.000000, 31, 142, 255
112, 255, 0.000000, 0.000000, 0.000000, 33, 147, 255
116, 255, 0.000000, 0.000000, 0.000000, 36, 150, 255
120, 255, 0.000000, 0.000000, 0.000000, 38, 163, 255
124, 255, 0.000000, 0.000000, 0.000000, 35, 157, 255
128, 255, 0.000000, 0.000000, 0.015627, 37, 150, 255
132, 511, 0.000000, 0.000000, 0.000000, 40, 207, 511
136, 511, 0.000000, 0.000000, 0.000000, 39, 212, 511
140, 511, 0.000000, 0.000000, 0.000000, 40, 205, 511
144, 511, 0.000000, 0.000000, 0.000000, 39, 201, 511
